disease,year,country,state,regimen,drug,company,group1,group2,group3,drug_weight,regimen_weight,drug_impact
LF,2017,Angola,LF,IVM+ALB,Ivermectin + Albendazole,Merck + GlaxoSmithKline,,,,1,1.0,3.478
Schist,2017,Angola,Schist,PZQ,Praziquantel,Bayer Healthcare,,,,1,1.0,5439.632
Whipworm,2017,Bangladesh,Whipworm,ALB,Albendazole,GlaxoSmithKline,,,,1,0.5,934.225
Whipworm,2017,Bangladesh,Whipworm,IVM+ALB,Ivermectin + Albendazole,Merck + GlaxoSmithKline,,,,1,0.5,1168.296
Hookworm,2017,Bangladesh,Hookworm,ALB,Albendazole,GlaxoSmithKline,,,,1,1.0,114.669
Roundworm,2017,Bangladesh,Roundworm,ALB,Albendazole,GlaxoSmithKline,,,,1,0.5,99870.82
Roundworm,2017,Bangladesh,Roundworm,IVM+ALB,Ivermectin + Albendazole,Merck + GlaxoSmithKline,,,,1,0.5,111026.284
LF,2017,Benin,LF,IVM+ALB,Ivermectin + Albendazole,Merck + GlaxoSmithKline,,,,1,1.0,6.804
Schist,2017,Benin,Schist,PZQ,Praziquantel,Bayer Healthcare,,,,1,1.0,16074.257
Schist,2017,Brazil,Schist,PZQ,Praziquantel,Bayer Healthcare,,,,1,1.0,166.354
LF,2017,Burkina Faso,LF,IVM+ALB,Ivermectin + Albendazole,Merck + GlaxoSmithKline,,,,1,1.0,277.047
Schist,2017,Burkina Faso,Schist,PZQ,Praziquantel,Bayer Healthcare,,,,1,1.0,60547.432
Schist,2017,Burundi,Schist,PZQ,Praziquantel,Bayer Healthcare,,,,1,1.0,12451.111
Schist,2017,Cambodia,Schist,PZQ,Praziquantel,Bayer Healthcare,,,,1,1.0,23597.699
LF,2017,Cameroon,LF,IVM+ALB,Ivermectin + Albendazole,Merck + GlaxoSmithKline,,,,1,1.0,517.52
Schist,2017,Cameroon,Schist,PZQ,Praziquantel,Bayer Healthcare,,,,1,1.0,44899.398
LF,2017,Chad,LF,IVM+ALB,Ivermectin + Albendazole,Merck + GlaxoSmithKline,,,,1,1.0,25.887
Schist,2017,Chad,Schist,PZQ,Praziquantel,Bayer Healthcare,,,,1,1.0,14884.663
LF,2017,Comoros,LF,DEC+ALB,Diethylcarbamazine + Albendazole,Pfizer + GlaxoSmithKline,,,,1,0.5,22.028
LF,2017,Comoros,LF,IVM+ALB,Ivermectin + Albendazole,Merck + GlaxoSmithKline,,,,1,0.5,15.292
LF,2017,Congo,LF,IVM+ALB,Ivermectin + Albendazole,Merck + GlaxoSmithKline,,,,1,1.0,7.258
Schist,2017,Congo,Schist,PZQ,Praziquantel,Bayer Healthcare,,,,1,1.0,4143.958
