disease,year,country,state,regimen,drug,company,group1,group2,group3,drug_weight,regimen_weight,drug_impact
LF,2015,Angola,LF,IVM+ALB,Albendazole + Ivermectin,Merck + GlaxoSmithKline,,,,1,1.0,84.666
Schist,2015,Angola,Schist,PZQ,Praziquantel,Bayer Healthcare,,,,1,1.0,2366.643
Onch,2015,Angola,Onch,IVM,Ivermectin,Merck,,,,1,1.0,1.246
LF,2015,Bangladesh,LF,DEC+ALB,Diethylcarbamazine + Albendazole,GlaxoSmithKline + Pfizer Inc.,,,,1,0.5,4.278
LF,2015,Bangladesh,LF,IVM+ALB,Albendazole + Ivermectin,Merck + GlaxoSmithKline,,,,1,0.5,0.639
Whipworm,2015,Bangladesh,Whipworm,ALB,Albendazole,GlaxoSmithKline,,,,1,0.5,1509.058
Whipworm,2015,Bangladesh,Whipworm,IVM+ALB,Albendazole + Ivermectin,Merck + GlaxoSmithKline,,,,1,0.5,1845.374
Hookworm,2015,Bangladesh,Hookworm,ALB,Albendazole,GlaxoSmithKline,,,,1,1.0,7583.751
Roundworm,2015,Bangladesh,Roundworm,ALB,Albendazole,GlaxoSmithKline,,,,1,0.5,31001.011
Roundworm,2015,Bangladesh,Roundworm,IVM+ALB,Albendazole + Ivermectin,Merck + GlaxoSmithKline,,,,1,0.5,33513.479
LF,2015,Benin,LF,IVM+ALB,Albendazole + Ivermectin,Merck + GlaxoSmithKline,,,,1,1.0,7.515
Schist,2015,Benin,Schist,PZQ,Praziquantel,Bayer Healthcare,,,,1,1.0,22593.198
Onch,2015,Benin,Onch,IVM,Ivermectin,Merck,,,,1,1.0,0.007
Schist,2015,Botswana,Schist,PZQ,Praziquantel,Bayer Healthcare,,,,1,1.0,2006.197
Schist,2015,Brazil,Schist,PZQ,Praziquantel,Bayer Healthcare,,,,1,1.0,69768.779
LF,2015,Burkina Faso,LF,IVM+ALB,Albendazole + Ivermectin,Merck + GlaxoSmithKline,,,,1,1.0,46.986
Schist,2015,Burkina Faso,Schist,PZQ,Praziquantel,Bayer Healthcare,,,,1,1.0,60031.215
Schist,2015,Burundi,Schist,PZQ,Praziquantel,Bayer Healthcare,,,,1,1.0,4477.789
Onch,2015,Burundi,Onch,IVM,Ivermectin,Merck,,,,1,1.0,10.873
Schist,2015,Cambodia,Schist,PZQ,Praziquantel,Bayer Healthcare,,,,1,1.0,27698.751
LF,2015,Cameroon,LF,IVM+ALB,Albendazole + Ivermectin,Merck + GlaxoSmithKline,,,,1,1.0,121.25
Schist,2015,Cameroon,Schist,PZQ,Praziquantel,Bayer Healthcare,,,,1,1.0,41473.073
Onch,2015,Cameroon,Onch,IVM,Ivermectin,Merck,,,,1,1.0,152.931
LF,2015,Central African Republic,LF,IVM+ALB,Albendazole + Ivermectin,Merck + GlaxoSmithKline,,,,1,1.0,90.191
Schist,2015,Central African Republic,Schist,PZQ,Praziquantel,Bayer Healthcare,,,,1,1.0,2331.547
Onch,2015,Central African Republic,Onch,IVM,Ivermectin,Merck,,,,1,1.0,50.164
LF,2015,Chad,LF,IVM+ALB,Albendazole + Ivermectin,Merck + GlaxoSmithKline,,,,1,1.0,38.204
Schist,2015,Chad,Schist,PZQ,Praziquantel,Bayer Healthcare,,,,1,1.0,18125.568
Onch,2015,Chad,Onch,IVM,Ivermectin,Merck,,,,1,1.0,4.479
Schist,2015,China,Schist,PZQ,Praziquantel,Bayer Healthcare,,,,1,1.0,396101.226
Whipworm,2015,Colombia,Whipworm,ALB,Albendazole,GlaxoSmithKline,,,,1,0.5,25.66
Whipworm,2015,Colombia,Whipworm,MBD,Mebendazole,Johnson and Johnson,,,,1,0.5,40.526
Hookworm,2015,Colombia,Hookworm,ALB,Albendazole,GlaxoSmithKline,,,,1,0.5,80.078
Hookworm,2015,Colombia,Hookworm,MBD,Mebendazole,Johnson and Johnson,,,,1,0.5,13.937
Roundworm,2015,Colombia,Roundworm,ALB,Albendazole,GlaxoSmithKline,,,,1,0.5,273.004
Roundworm,2015,Colombia,Roundworm,MBD,Mebendazole,Johnson and Johnson,,,,1,0.5,203.952
LF,2015,Comoros,LF,DEC+ALB,Diethylcarbamazine + Albendazole,GlaxoSmithKline + Pfizer Inc.,,,,1,0.5,5.596
LF,2015,Comoros,LF,IVM+ALB,Albendazole + Ivermectin,Merck + GlaxoSmithKline,,,,1,0.5,3.956
Whipworm,2015,Comoros,Whipworm,ALB,Albendazole,GlaxoSmithKline,,,,1,0.5,20.423
Whipworm,2015,Comoros,Whipworm,IVM+ALB,Albendazole + Ivermectin,Merck + GlaxoSmithKline,,,,1,0.5,27.304
Hookworm,2015,Comoros,Hookworm,ALB,Albendazole,GlaxoSmithKline,,,,1,1.0,48.992
Roundworm,2015,Comoros,Roundworm,ALB,Albendazole,GlaxoSmithKline,,,,1,0.5,48.922
Roundworm,2015,Comoros,Roundworm,IVM+ALB,Albendazole + Ivermectin,Merck + GlaxoSmithKline,,,,1,0.5,25.585
LF,2015,Congo,LF,IVM+ALB,Albendazole + Ivermectin,Merck + GlaxoSmithKline,,,,1,1.0,2.632
Schist,2015,Congo,Schist,PZQ,Praziquantel,Bayer Healthcare,,,,1,1.0,8608.895
Whipworm,2015,Congo,Whipworm,ALB,Albendazole,GlaxoSmithKline,,,,1,0.5,60.095
Whipworm,2015,Congo,Whipworm,IVM+ALB,Albendazole + Ivermectin,Merck + GlaxoSmithKline,,,,1,0.5,79.5
Hookworm,2015,Congo,Hookworm,ALB,Albendazole,GlaxoSmithKline,,,,1,1.0,246.197
Roundworm,2015,Congo,Roundworm,ALB,Albendazole,GlaxoSmithKline,,,,1,0.5,990.207
Roundworm,2015,Congo,Roundworm,IVM+ALB,Albendazole + Ivermectin,Merck + GlaxoSmithKline,,,,1,0.5,517.066
Onch,2015,Congo,Onch,IVM,Ivermectin,Merck,,,,1,1.0,0.424
LF,2015,Cote d'Ivoire,LF,IVM+ALB,Albendazole + Ivermectin,Merck + GlaxoSmithKline,,,,1,1.0,105.933
Schist,2015,Cote d'Ivoire,Schist,PZQ,Praziquantel,Bayer Healthcare,,,,1,1.0,7370.3
LF,2015,Democratic Republic of the Congo,LF,IVM+ALB,Albendazole + Ivermectin,Merck + GlaxoSmithKline,,,,1,1.0,14.024
Schist,2015,Democratic Republic of the Congo,Schist,PZQ,Praziquantel,Bayer Healthcare,,,,1,1.0,22438.928
Whipworm,2015,Democratic Republic of the Congo,Whipworm,ALB,Albendazole,GlaxoSmithKline,,,,1,0.5,161.695
Whipworm,2015,Democratic Republic of the Congo,Whipworm,IVM+ALB,Albendazole + Ivermectin,Merck + GlaxoSmithKline,,,,1,0.5,219.38
Hookworm,2015,Democratic Republic of the Congo,Hookworm,ALB,Albendazole,GlaxoSmithKline,,,,1,1.0,6901.444
Roundworm,2015,Democratic Republic of the Congo,Roundworm,ALB,Albendazole,GlaxoSmithKline,,,,1,0.5,96721.0
Roundworm,2015,Democratic Republic of the Congo,Roundworm,IVM+ALB,Albendazole + Ivermectin,Merck + GlaxoSmithKline,,,,1,0.5,23363.04
Onch,2015,Democratic Republic of the Congo,Onch,IVM,Ivermectin,Merck,,,,1,1.0,2565.704
LF,2015,Dominican Republic,LF,DEC+ALB,Diethylcarbamazine + Albendazole,GlaxoSmithKline + Pfizer Inc.,,,,1,0.5,0.004
LF,2015,Dominican Republic,LF,IVM+ALB,Albendazole + Ivermectin,Merck + GlaxoSmithKline,,,,1,0.5,0.009
Schist,2015,Egypt,Schist,PZQ,Praziquantel,Bayer Healthcare,,,,1,1.0,211615.053
LF,2015,Equatorial Guinea,LF,IVM+ALB,Albendazole + Ivermectin,Merck + GlaxoSmithKline,,,,1,1.0,4.375
Schist,2015,Equatorial Guinea,Schist,PZQ,Praziquantel,Bayer Healthcare,,,,1,1.0,354.592
Whipworm,2015,Equatorial Guinea,Whipworm,ALB,Albendazole,GlaxoSmithKline,,,,1,0.5,13.772
Whipworm,2015,Equatorial Guinea,Whipworm,IVM+ALB,Albendazole + Ivermectin,Merck + GlaxoSmithKline,,,,1,0.5,18.404
Hookworm,2015,Equatorial Guinea,Hookworm,ALB,Albendazole,GlaxoSmithKline,,,,1,1.0,35.454
Roundworm,2015,Equatorial Guinea,Roundworm,ALB,Albendazole,GlaxoSmithKline,,,,1,0.5,249.719
Roundworm,2015,Equatorial Guinea,Roundworm,IVM+ALB,Albendazole + Ivermectin,Merck + GlaxoSmithKline,,,,1,0.5,136.391
Onch,2015,Equatorial Guinea,Onch,IVM,Ivermectin,Merck,,,,1,1.0,1.543
LF,2015,Eritrea,LF,IVM+ALB,Albendazole + Ivermectin,Merck + GlaxoSmithKline,,,,1,1.0,0.019
Schist,2015,Eritrea,Schist,PZQ,Praziquantel,Bayer Healthcare,,,,1,1.0,641.002
LF,2015,Ethiopia,LF,IVM+ALB,Albendazole + Ivermectin,Merck + GlaxoSmithKline,,,,1,1.0,0.022
Schist,2015,Ethiopia,Schist,PZQ,Praziquantel,Bayer Healthcare,,,,1,1.0,81539.797
Onch,2015,Ethiopia,Onch,IVM,Ivermectin,Merck,,,,1,1.0,3.272
LF,2015,Fiji,LF,DEC+ALB,Diethylcarbamazine + Albendazole,GlaxoSmithKline + Pfizer Inc.,,,,1,0.5,0.285
LF,2015,Fiji,LF,IVM+ALB,Albendazole + Ivermectin,Merck + GlaxoSmithKline,,,,1,0.5,0.095
Whipworm,2015,Fiji,Whipworm,ALB,Albendazole,GlaxoSmithKline,,,,1,0.5,0.034
Whipworm,2015,Fiji,Whipworm,IVM+ALB,Albendazole + Ivermectin,Merck + GlaxoSmithKline,,,,1,0.5,0.063
Hookworm,2015,Fiji,Hookworm,ALB,Albendazole,GlaxoSmithKline,,,,1,1.0,3.139
Roundworm,2015,Fiji,Roundworm,ALB,Albendazole,GlaxoSmithKline,,,,1,0.5,2.82
Roundworm,2015,Fiji,Roundworm,IVM+ALB,Albendazole + Ivermectin,Merck + GlaxoSmithKline,,,,1,0.5,2.441
